label,value,question
1,1,     ·  What’s the best trip (traveling wise) you ever had?
2,1,     ·  What’s your favorite thing about the place where you live?
3,1,"     ·  If you could live anywhere in the world for a year, where would it be?"
4,1,     ·  Where is your favorite vacation spot?
5,1,     ·  What’s your favorite seat on an airplane?
6,1,     ·  Have you ever been on a cruise? Where did you go?
7,1,     ·  Do you enjoy the outdoors? What’s your favorite outdoor activity?
8,1,     ·  How many countries have you visited outside your own?
9,1,     ·  What is your favorite weekend trip?
10,1,     ·  Who is your favorite person to travel with?
11,1,     ·  What is your favorite theme park?
12,1,"     ·  In your opinion, what is the most beautiful place on earth?"
13,1,"     ·  Beach, safari, or forest vacation?"
14,1,     ·  What is your favorite magical or mythological creature?
15,1,     ·  What famous animal movie character do you like the most?
16,1,     ·  Did you have a stuffed animal as a child? What was its name?
17,1,     ·  Are there any specific animals you are afraid of? Why?
18,1,     ·  What is the funniest thing one of your pets have done?
19,1,     ·  What is your favorite zoo animal?
20,1,"     ·  If you were a fish, what type would you be?",,,,,,,,,
21,1,"     ·  If you had your human body, but the head of an animal, what animal would you pick?",,,,,,,,,
22,1,     ·  Favorite grocery item while shopping locally?,,,,,,,,,
23,1,     ·  What is your favorite restaurant?,,,,,,,,,
24,1,"     ·  If you could only eat one item of food for the rest of your life, what would you eat?",,,,,,,,,
25,1,     ·  What is your favorite candy or treat?,,,,,,,,,
26,1,"     ·  Sweet, salty, or sour?",,,,,,,,,
27,1,     ·  What’s the weirdest food you’ve ever eaten?,,,,,,,,,
28,1,     ·  What is something you are great at cooking?,,,,,,,,,
29,1,     ·  What is something you can’t cook?,,,,,,,,,
30,1,     ·  What is your favorite dessert?,,,,,,,,,
31,1,"     ·  If you could eliminate one food so no one could eat it ever again, what would you destroy?",,,,,,,,,
32,1,     ·  What is your favorite breakfast? Lunch? Dinner?,,,,,,,,,
33,1,     ·  What is your favorite hobby?,,,,,,,,,
34,1,     ·  What is your favorite thing to do by yourself?,,,,,,,,,
35,1,     ·  What is your favorite sport or physical activity?,,,,,,,,,
36,1,     ·  What crazy activities do you dream of trying someday?,,,,,,,,,
37,1,     ·  What is your idea of fun?,,,,,,,,,
38,1,     ·  What two things do you consider yourself to be very good at?,,,,,,,,,
39,1,     ·  What two things do you consider yourself to be very bad at?,,,,,,,,,
40,1,"     ·  If money and time were no object, what would you be doing right now?",,,,,,,,,
41,1,     ·  What is something you hate doing? Why?,,,,,,,,,
42,1,     ·  What is something you love doing? Why,,,,,,,,,
43,1,     ·  Do you have any hidden talents? What can you do?,,,,,,,,,
44,1,     ·  What was one new experience you tried that was completely unknown or uncomfortable to you at the time you tried it?,,,,,,,,,
45,1,     ·  Have you ever been out of the country?,,,,,,,,,
46,1,     ·  Have you ever ridden on a motorcycle?,,,,,,,,,
47,1,     ·  Have you ever lived in another state?,,,,,,,,,
48,1,     ·  Have you ever met a celebrity?,,,,,,,,,
49,1,     ·  Have you ever been to Disney Land or Disney World?,,,,,,,,,
50,1,     ·  Have you ever planted a garden?,,,,,,,,,
51,1,     ·  Have you ever experienced a natural disaster like a hurricane or tornado?,,,,,,,,,
52,1,     ·  Have you ever won a contest?,,,,,,,,,
53,1,     ·  Have you ever eaten a whole pizza by yourself?,,,,,,,,,
54,1,     ·  Have you ever done any extreme sports like skydiving or bungee jumping?,,,,,,,,,
55,1,"     ·  If you had to delete all but 3 apps from your smartphone, which ones would you keep? (Three apps that have changed your life.)",,,,,,,,,
56,1,     ·  When did you get your first cell phone? What kind was it?,,,,,,,,,
57,1,"     ·  If you had to choose between only having a cell phone or a car for the rest of your life, which would you choose?",,,,,,,,,
58,1,     ·  How many Facebook friends do you have? How many of them do you actually communicate with?,,,,,,,,,
59,1,     ·  What technology innovation made the most impact on your life?,,,,,,,,,
60,1,"     ·  Desktop, laptop, or tablet? Which do you prefer to use?",,,,,,,,,
61,1,     ·  What is your favorite thing about technology? Least favorite?,,,,,,,,,
62,1,"     ·  Where would you time-travel, if it were possible?",,,,,,,,,
63,1,"     ·  If you could have a superpower, what would it be and why?",,,,,,,,,
64,1,"     ·  If you were the captain of a pirate ship, what would be the name of your ship?",,,,,,,,,
65,1,"     ·  If you could travel to any other planet (real or fictional), where would you go and why?",,,,,,,,,
66,1,     ·  What is your favorite movie?,,,,,,,,,
67,1,     ·  Who is your favorite actor/actress?,,,,,,,,,
68,1,     ·  What is your favorite book?,,,,,,,,,
69,1,     ·  What is your favorite tv series?,,,,,,,,,
70,1,     ·  What show on Netflix did you binge watch embarrassingly fast?,,,,,,,,,
71,1,"     ·  If you could be any fictional character, who would you be?",,,,,,,,,
72,1,     ·  What type of music do you listen to?,,,,,,,,,
73,1,     ·  What movie can you rewatch over and over again?,,,,,,,,,
74,1,"     ·  If you could go back in time and make little changes to your childhood, what is one thing you’d learn and master over the years so you’d be an expert at it today?",,,,,,,,,
75,1,"     ·  If you won a lottery of $1 billion, what would you do with all the money?",,,,,,,,,
76,1,     ·  How would you change your life today if the average life expectancy was 400 years?,,,,,,,,,
77,1,     ·  What is the most challenging job you can think of?,,,,,,,,,
78,1,     ·  A genie grants you three wishes but none of them can directly benefit you. What would those wishes be?,,,,,,,,,
79,1,"     ·  If you had to change your name, what would your new name be, and why would you choose that name?",,,,,,,,,
80,1,     ·  What are the best and worst purchases you’ve ever made?,,,,,,,,,
81,1,     ·  What is your biggest pet peeve?,,,,,,,,,
82,1,     ·  What is your most treasured material possession?,,,,,,,,,
83,1,     ·  What is your favorite smell and why?,,,,,,,,,
84,1,"     ·  What do you never leave the house without other than your phone, keys or wallet?",,,,,,,,,
85,1,"     ·  Who is your hero, and why?",,,,,,,,,
86,1,     ·  What is your earliest childhood memory?,,,,,,,,,
87,1,     ·  Who was your favorite teacher in school and how did he or she impact you?,,,,,,,,,
88,1,"     ·  If you could choose an age to remain forever, which age would you choose?",,,,,,,,,
89,1,     ·  What is one important skill every person should have?,,,,,,,,,
90,1,     ·  What was the best thing that happened to you this weekend? This month? This year?,,,,,,,,,
91,1,     ·  What is your favorite holiday?,,,,,,,,,
92,1,     ·  Do you set New Years Resolutions? What was one of yours this year? Have you kept it?,,,,,,,,,
93,1,"     ·  As a child, what did you want to be when you grew up?",,,,,,,,,
94,1,     ·  What is your least favorite job you’ve ever had?,,,,,,,,,
95,1,     ·  What is your favorite job you’ve ever had?,,,,,,,,,
96,1,     ·  What are you going to do when you retire?,,,,,,,,,
